"ID","Date","BOX","Eggs","Chicks","Twigs","OBSERVER","NOTES","Field1","year","box_year","Few","start","site","site_year","year_z","start_first_check","start_first_check_z","start_vs_first_check","female_JID","male_JID","pair_ID","female_age_24","male_age_24","female_age","male_age","pair_age","pair_age_z","female_body_cond","male_body_cond","box_attached","box_substrate","fem_JID_year","male_JID_year","fem_prev_owner","male_prev_owner","mean_start_site_year","start_diff_from_mean","start_diff_from_mean_abs","fem_prev_owner_binary","male_prev_owner_binary","box_attached_binary"
12827,2016-03-16,"Z32","0","0","FEW","LvW/GM","<10","",2016,"Z32_2016","FEW",76,"Z","Z_2016",-0.307155782337731,76,0.449321352788964,0,"J1916","J1093","J1916_J1093",0,0,-8,-8,-8,-1.35938270956937,17.1895725201141,9.41838979888564,"barn","concrete","J1916_2016","J1093_2016",0,0,84.1071428571429,-8.10714285714286,8.10714285714286,0,0,"building"
16248,2017-04-01,"Z32","0","0","FEW","VL","Straw only","",2017,"Z32_2017","FEW",91,"Z","Z_2017",-0.0395237219920131,74,0.191478348888275,17,"J1916","J1093","J1916_J1093",0,0,-7,-7,-7,-0.931027934104549,17.1895725201141,9.41838979888564,"barn","concrete","J1916_2017","J1093_2017",1,1,81.7894736842105,9.21052631578948,9.21052631578948,1,1,"building"
21109,2018-03-25,"Z32","0","0","FEW","NAF","","",2018,"Z32_2018","FEW",84,"Z","Z_2018",0.228108338353704,75,0.32039985083862,9,"J1916","J1093","J1916_J1093",0,0,-6,-6,-6,-0.502673158639728,17.1895725201141,9.41838979888564,"barn","concrete","J1916_2018","J1093_2018",2,2,83,1,1,1,1,"building"
28436,2021-04-05,"Z32","0","0","FEW","GM","base covered but fairly empty","",2021,"Z32_2021","FEW",95,"Z","Z_2021",1.03100451939086,61,-1.4845011764662,34,"J1916","J1093","J1916_J1093",0,0,-3,-3,-3,0.782391167754734,17.1895725201141,9.41838979888564,"barn","concrete","J1916_2021","J1093_2021",5,5,83.6666666666667,11.3333333333333,11.3333333333333,1,1,"building"
4113,2013-03-20,"Z33","0","0","FEW","AD","6 twigs","",2013,"Z33_2013","FEW",79,"Z","Z_2013",-1.11005196337488,72,-0.0663646550124131,7,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"barn","concrete","NA_2013","NA_2013",NA,NA,94.2692307692308,-15.2692307692308,15.2692307692308,NA,NA,"building"
7348,2014-04-22,"Z33","0","0","FEW","MK","Mostly debris","",2014,"Z33_2014","FEW",112,"Z","Z_2014",-0.842419903029165,73,0.0625568469379311,39,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"barn","concrete","NA_2014","NA_2014",NA,NA,86.1851851851852,25.8148148148148,25.8148148148148,NA,NA,"building"
12899,2016-03-23,"Z33","0","0","FEW","LvW","10, lots of straw and hay","",2016,"Z33_2016","FEW",83,"Z","Z_2016",-0.307155782337731,76,0.449321352788964,7,"J908","J587","J908_J587",0,0,-8,-8,-8,-0.931027934104549,18.8956734787702,27.5589394616033,"barn","concrete","J908_2016","J587_2016",0,0,84.1071428571429,-1.10714285714286,1.10714285714286,0,0,"building"
16209,2017-03-27,"Z33","0","0","FEW","VL","At front","",2017,"Z33_2017","FEW",86,"Z","Z_2017",-0.0395237219920131,74,0.191478348888275,12,"J908","J587","J908_J587",0,0,-7,-7,-7,-0.502673158639728,18.8956734787702,27.5589394616033,"barn","concrete","J908_2017","J587_2017",1,1,81.7894736842105,4.21052631578948,4.21052631578948,1,1,"building"
4207,2013-03-26,"Z34","0","0","FEW","GM","<20 twigs.","",2013,"Z34_2013","FEW",85,"Z","Z_2013",-1.11005196337488,72,-0.0663646550124131,13,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"","","NA_2013","NA_2013",NA,NA,94.2692307692308,-9.26923076923077,9.26923076923077,NA,NA,"building"
6406,2014-03-14,"Z34","0","0","FEW","AC","c.10","",2014,"Z34_2014","FEW",73,"Z","Z_2014",-0.842419903029165,73,0.0625568469379311,0,"J797","J833","J797_J833",0,0,-10,-10,-10,-0.931027934104549,3.66258994878887,23.2938143679138,"","","J797_2014","J833_2014",0,0,86.1851851851852,-13.1851851851852,13.1851851851852,0,0,"building"
6469,2014-03-21,"Z35","0","0","FEW","MK","7 twigs","",2014,"Z35_2014","FEW",80,"Z","Z_2014",-0.842419903029165,73,0.0625568469379311,7,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","concrete","NA_2014","NA_2014",NA,NA,86.1851851851852,-6.18518518518519,6.18518518518519,NA,NA,"tree"
21017,2018-03-16,"Z35","0","0","FEW","VL","","",2018,"Z35_2018","FEW",75,"Z","Z_2018",0.228108338353704,75,0.32039985083862,0,"J2415","J1428","J2415_J1428",0,0,-6,-6,-6,-0.502673158639728,40.6973183353152,20.8657893491759,"tree","concrete","J2415_2018","J1428_2018",0,0,83,-8,8,0,0,"tree"
6724,2014-04-03,"Z36","0","0","FEW","AC","Just a little fur","",2014,"Z36_2014","FEW",93,"Z","Z_2014",-0.842419903029165,73,0.0625568469379311,20,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"","","NA_2014","NA_2014",NA,NA,86.1851851851852,6.81481481481481,6.81481481481481,NA,NA,"building"
8914,2015-04-06,"Z37","0","0","FEW","ALG","","",2015,"Z37_2015","FEW",96,"Z","Z_2015",-0.574787842683448,78,0.707164356689652,18,"J600","J1357","J600_J1357",0,0,-9,-9,-9,-1.35938270956937,NA,2.69638829985321,"tree","soft","J600_2015","J1357_2015",0,0,87.4285714285714,8.57142857142857,8.57142857142857,0,0,"tree"
12901,2016-03-23,"Z37","0","0","FEW","LvW","20, front. Moss","",2016,"Z37_2016","FEW",83,"Z","Z_2016",-0.307155782337731,76,0.449321352788964,7,"J1355","J933","J1355_J933",0,0,-8,-8,-8,-0.502673158639728,6.84913661344169,26.6091980075419,"tree","soft","J1355_2016","J933_2016",1,1,84.1071428571429,-1.10714285714286,1.10714285714286,1,1,"tree"
16109,2017-03-22,"Z37","0","0","FEW","VL","Few piled up at entrance","",2017,"Z37_2017","FEW",81,"Z","Z_2017",-0.0395237219920131,74,0.191478348888275,7,"J1355","J933","J1355_J933",0,0,-7,-7,-7,-0.0743183831749076,6.84913661344169,26.6091980075419,"tree","soft","J1355_2017","J933_2017",2,2,81.7894736842105,-0.78947368421052,0.78947368421052,1,1,"tree"
21018,2018-03-16,"Z37","0","0","FEW","VL","","",2018,"Z37_2018","FEW",75,"Z","Z_2018",0.228108338353704,75,0.32039985083862,0,"J1355","J933","J1355_J933",0,0,-6,-6,-6,0.354036392289913,6.84913661344169,26.6091980075419,"tree","soft","J1355_2018","J933_2018",3,3,83,-8,8,1,1,"tree"
NA,NA,"X18",NA,NA,NA,NA,NA,NA,2024,"X18_2024",NA,77,"X","X_2024",1.83390070042801,60,-1.61342267841654,NA,"J4508","J3684","J4508_J3684",0,0,0,0,0,0.354036392289913,NA,NA,"tree","soft","J4508_2024","J3684_2024",3,0,71.9090909090909,5.09090909090909,5.09090909090909,1,0,"tree"
NA,NA,"X20",NA,NA,NA,NA,NA,NA,2024,"X20_2024",NA,68,"X","X_2024",1.83390070042801,60,-1.61342267841654,NA,"J5936","J4824","J5936_J4824",0,0,0,0,0,-0.931027934104549,NA,NA,"tree","soft","J5936_2024","J4824_2024",0,0,71.9090909090909,-3.90909090909091,3.90909090909091,0,0,"tree"
NA,NA,"X21",NA,NA,NA,NA,NA,NA,2024,"X21_2024",NA,68,"X","X_2024",1.83390070042801,60,-1.61342267841654,NA,"J4509","J4964","J4509_J4964",0,0,0,0,0,0.139859004557503,NA,NA,"tree","soft","J4509_2024","J4964_2024",3,2,71.9090909090909,-3.90909090909091,3.90909090909091,1,1,"tree"
NA,NA,"X22",NA,NA,NA,NA,NA,NA,2024,"X22_2024",NA,65,"X","X_2024",1.83390070042801,60,-1.61342267841654,NA,"J4525","J3874","J4525_J3874",0,0,0,0,0,0.568213780022324,NA,NA,"tree","soft","J4525_2024","J3874_2024",3,4,71.9090909090909,-6.90909090909091,6.90909090909091,1,1,"tree"
NA,NA,"X23",NA,NA,NA,NA,NA,NA,2024,"X23_2024",NA,83,"X","X_2024",1.83390070042801,60,-1.61342267841654,NA,"J3555","J5953","J3555_J5953",0,0,0,0,0,0.354036392289913,NA,NA,"tree","soft","J3555_2024","J5953_2024",0,0,71.9090909090909,11.0909090909091,11.0909090909091,0,0,"tree"
NA,NA,"X25",NA,NA,NA,NA,NA,NA,2024,"X25_2024",NA,63,"X","X_2024",1.83390070042801,60,-1.61342267841654,NA,"J4949","J3461","J4949_J3461",0,0,0,0,0,0.568213780022324,NA,NA,"tree","soft","J4949_2024","J3461_2024",3,5,71.9090909090909,-8.90909090909091,8.90909090909091,1,1,"tree"
NA,NA,"X31",NA,NA,NA,NA,NA,NA,2024,"X31_2024",NA,68,"X","X_2024",1.83390070042801,60,-1.61342267841654,NA,"J4950","J2576","J4950_J2576",0,0,0,0,0,0.354036392289913,NA,NA,"tree","soft","J4950_2024","J2576_2024",2,2,71.9090909090909,-3.90909090909091,3.90909090909091,1,1,"tree"
NA,NA,"X32",NA,NA,NA,NA,NA,NA,2024,"X32_2024",NA,83,"X","X_2024",1.83390070042801,60,-1.61342267841654,NA,"J5123","J5124","J5123_J5124",0,0,0,0,0,-0.502673158639728,NA,NA,"tree","soft","J5123_2024","J5124_2024",1,1,71.9090909090909,11.0909090909091,11.0909090909091,1,1,"tree"
NA,NA,"X33",NA,NA,NA,NA,NA,NA,2024,"X33_2024",NA,69,"X","X_2024",1.83390070042801,60,-1.61342267841654,NA,"J4941","J4963","J4941_J4963",0,0,0,0,0,-0.0743183831749076,NA,NA,"tree","soft","J4941_2024","J4963_2024",2,2,71.9090909090909,-2.90909090909091,2.90909090909091,1,1,"tree"
NA,NA,"X35",NA,NA,NA,NA,NA,NA,2024,"X35_2024",NA,81,"X","X_2024",1.83390070042801,60,-1.61342267841654,NA,"J5126","J5496","J5126_J5496",0,0,0,0,0,-0.502673158639728,NA,NA,"tree","soft","J5126_2024","J5496_2024",1,1,71.9090909090909,9.09090909090909,9.09090909090909,1,1,"tree"
NA,NA,"X39",NA,NA,NA,NA,NA,NA,2024,"X39_2024",NA,66,"X","X_2024",1.83390070042801,60,-1.61342267841654,NA,"J5320","J4166","J5320_J4166",0,0,0,0,0,-0.502673158639728,NA,NA,"tree","soft","J5320_2024","J4166_2024",1,1,71.9090909090909,-5.90909090909091,5.90909090909091,1,1,"tree"
NA,NA,"Y01",NA,NA,NA,NA,NA,NA,2024,"Y01_2024",NA,68,"Y","Y_2024",1.83390070042801,60,-1.61342267841654,NA,"J1031","J1171","J1031_J1171",0,0,0,0,0,2.0674554941492,NA,NA,"tree","soft","J1031_2024","J1171_2024",5,5,72.1428571428571,-4.14285714285714,4.14285714285714,1,1,"tree"
NA,NA,"Y02",NA,NA,NA,NA,NA,NA,2024,"Y02_2024",NA,62,"Y","Y_2024",1.83390070042801,60,-1.61342267841654,NA,"J3899","J2488","J3899_J2488",0,0,0,0,0,0.996568555487145,NA,NA,"tree","soft","J3899_2024","J2488_2024",2,2,72.1428571428571,-10.1428571428571,10.1428571428571,1,1,"tree"
NA,NA,"Y03",NA,NA,NA,NA,NA,NA,2024,"Y03_2024",NA,80,"Y","Y_2024",1.83390070042801,60,-1.61342267841654,NA,"J3283","J4666","J3283_J4666",0,0,0,0,0,0.139859004557503,NA,NA,"tree","soft","J3283_2024","J4666_2024",2,2,72.1428571428571,7.85714285714286,7.85714285714286,1,1,"tree"
