"nest1","nest2","weight","site_comb","site_same_other","site_same_semi_other","dyad_ID","spatial","spatial_z","spatial_weight","prospect_weight","spatial_weight_z","prospect_weight_z","year","nest1_anthro","nest2_anthro","anthro","anthro_binary"
"X31","X23",0.222222222222222,"XX","same","same","X23_X31",53.1980746446738,-0.837536582860632,0.864169164852299,0,0.837373558706706,NA,"2024",1,1,2,1
"X32","X23",0.4,"XX","same","same","X23_X32",48.3413745881459,-0.898258657777551,0.877359909662529,0,0.898083814241534,NA,"2024",0,1,1,0
"X33","X23",0.5,"XX","same","same","X23_X33",60.7595442601502,-0.742997468003039,0.843632295182123,0,0.742852845623469,NA,"2024",0,1,1,0
"X35","X23",0.166666666666667,"XX","same","same","X23_X35",63.8599032430363,-0.704234474975476,0.835211753726534,0,0.704097397704109,NA,"2024",0,1,1,0
"X36","X23",0.5,"XX","same","same","X23_X36",67.2815479035216,-0.661454529540344,0.825918603846487,0,0.661325779265734,NA,"2024",0,1,1,0
"X38","X23",0.4,"XX","same","same","X23_X38",69.0197589684723,-0.639722122498759,0.821197641399308,0,0.639597602376411,NA,"2024",0,1,1,0
"X39","X23",0.333333333333333,"XX","same","same","X23_X39",76.1203823595705,-0.550944849763629,0.801912425088773,0,0.55083760988918,NA,"2024",1,1,2,1
"X27","X25",0.571428571428571,"XX","same","same","X25_X27",25.2109208196765,-1.18745278758664,0.940181971855683,0,1.1872216532219,NA,"2024",1,1,2,1
"X31","X25",0.555555555555556,"XX","same","same","X25_X31",61.1093240125618,-0.738624261487678,0.842682297158743,0,0.738480490340528,NA,"2024",1,1,2,1
"X32","X25",0.666666666666667,"XX","same","same","X25_X32",54.9427964875017,-0.815722773233459,0.859430519202844,0,0.815563995076581,NA,"2024",0,1,1,0
"X33","X25",0.8,"XX","same","same","X25_X33",69.0056161944698,-0.639898945974065,0.821236053020492,0,0.639774391433523,NA,"2024",0,1,1,0
"X35","X25",0.666666666666667,"XX","same","same","X25_X35",66.445137956741,-0.671911948540598,0.828190284213054,0,0.671781162758622,NA,"2024",0,1,1,0
"X36","X25",0.8,"XX","same","same","X25_X36",74.6631988064208,-0.569163641917188,0.805870119854261,0,0.569052855805789,NA,"2024",0,1,1,0
"X38","X25",0.666666666666667,"XX","same","same","X25_X38",74.2537647653673,-0.574282690700317,0.806982138280208,0,0.574170908180388,NA,"2024",0,1,1,0
"X39","X25",0.833333333333333,"XX","same","same","X25_X39",79.672051512288,-0.506539241457317,0.792266130094523,0,0.506440645010357,NA,"2024",1,1,2,1
"X31","X27",0.666666666666667,"XX","same","same","X27_X31",38.5063775765851,-1.02122310244013,0.904071655143804,0,1.0210243242188,NA,"2024",1,1,2,1
"X32","X27",0.571428571428571,"XX","same","same","X27_X32",30.9451083533844,-1.11575971184451,0.924607980550729,0,1.1155425323365,NA,"2024",0,1,1,0
"X33","X27",0.666666666666667,"XX","same","same","X27_X33",46.6202954602696,-0.919776868604753,0.88203434195396,0,0.919597836609168,NA,"2024",0,1,1,0
"X35","X27",0.571428571428571,"XX","same","same","X27_X35",41.6910950030033,-0.981405397433568,0.895421997068233,0,0.981214369617173,NA,"2024",0,1,1,0
"X36","X27",0.666666666666667,"XX","same","same","X27_X36",50.9767973840035,-0.86530864262627,0.870202129860893,0,0.865140212718568,NA,"2024",0,1,1,0
"X38","X27",0.833333333333333,"XX","same","same","X27_X38",49.152979400095,-0.888111371014831,0.875155599773804,0,0.887938502619809,NA,"2024",0,1,1,0
"X39","X27",0.714285714285714,"XX","same","same","X27_X39",54.5810084538399,-0.820246116208804,0.860413131588184,0,0.820086457595865,NA,"2024",1,1,2,1
"X32","X31",0.555555555555556,"XX","same","same","X31_X32",9.54153096397144,-1.38336314928206,0.982739865180965,0,1.38309388151323,NA,"2024",0,1,1,0
"X33","X31",0.444444444444444,"XX","same","same","X31_X33",8.11485783008642,-1.40120047749039,0.986614693977813,0,1.4009277377355,NA,"2024",0,1,1,0
"X35","X31",0.555555555555556,"XX","same","same","X31_X35",32.4236066961849,-1.09727442634383,0.920592395047149,0,1.09706084494495,NA,"2024",0,1,1,0
"X36","X31",0.444444444444444,"XX","same","same","X31_X36",14.3683017929418,-1.32301527181954,0.969630407828986,0,1.32275775059631,NA,"2024",0,1,1,0
"X38","X31",0.555555555555556,"XX","same","same","X31_X38",22.9808465604482,-1.21533483396856,0.946238829417188,0,1.21509827244145,NA,"2024",0,1,1,0
"X39","X31",0.666666666666667,"XX","same","same","X31_X39",35.5193918774874,-1.05856861838415,0.912184275987178,0,1.05836257096256,NA,"2024",1,1,2,1
"X33","X32",0.8,"XX","same","same","X32_X33",16.9747185293336,-1.29042791198884,0.962551408171051,0,1.29017673380407,NA,"2024",0,0,0,1
"X35","X32",0.428571428571428,"XX","same","same","X32_X35",25.6404680446592,-1.18208226882448,0.939015326239783,1,1.18185217981621,NA,"2024",0,0,0,1
"X36","X32",0.8,"XX","same","same","X32_X36",20.0339202997572,-1.25217949703063,0.954242649259242,0,1.25193576379289,NA,"2024",0,0,0,1
"X38","X32",0.666666666666667,"XX","same","same","X32_X38",21.6969904497892,-1.23138655757236,0.949725768724053,0,1.23114687162215,NA,"2024",0,0,0,1
"X39","X32",0.571428571428571,"XX","same","same","X32_X39",32.1482105064092,-1.10071763425718,0.921340368119144,0,1.10050338264751,NA,"2024",1,0,1,0
"X35","X33",0.5,"XX","same","same","X33_X35",35.9610313218628,-1.05304691370494,0.91098478803423,0,1.05284194106773,NA,"2024",0,0,0,1
"X36","X33",1,"XX","same","same","X33_X36",9.10459444801615,-1.38882605445367,0.983926580031204,0,1.38855572334562,NA,"2024",0,0,0,1
"X38","X33",0.8,"XX","same","same","X33_X38",22.6865566752035,-1.21901426490955,0.947038117561672,0,1.2187769871915,NA,"2024",0,0,0,1
"X39","X33",0.666666666666667,"XX","same","same","X33_X39",35.8836852968444,-1.05401395121416,0.911194859001395,0,1.0538087903458,NA,"2024",1,0,1,0
"X36","X35",0.5,"XX","same","same","X35_X36",31.6025582467599,-1.10753978448333,0.92282235375309,0,1.1073242049612,NA,"2024",0,0,0,1
