"from","to","trial","spatial_weight","prospect_weight"
"Y06","Y21",1,0.68500210676954,0
"Y06","Y22",1,0.663313721932264,0
"Y06","Y23",1,0.451141479070585,0
"Y06","Y26",1,0.310354617905209,0
"Y06","Y27",1,0.233045532901537,0
"Y06","Y28",1,0.20612489100347,0
"Y06","Y29",1,0.174490988294714,0
"Y06","Y30",1,0.181090389176283,0
"Y06","Y31",1,0.0862744407393173,0
"Y06","Y33",1,0.160398883653581,0
"Y06","Y35",1,0.363764766120345,0
"Y07","Y01",1,0.796554803184222,0
"Y07","Y02",1,0.842303347489184,0
"Y07","Y03",1,0.911525728578192,0
"Y07","Y04",1,0.93590962210273,0
"Y07","Y05",1,0.964782340904202,0
"Y07","Y06",1,0.981296542921229,0
"Y07","Y08",1,0.975476511575266,0
"Y07","Y09",1,0.940560642929272,0
"Y07","Y10",1,0.943877989148541,0
"Y07","Y11",1,0.849532247148185,0
"Y07","Y12",1,0.757299245261638,0
"Y07","Y14",1,0.496274700439744,0
"Y07","Y16",1,0.573459300638003,0
"Y07","Y17",1,0.558710021681055,0
"Y07","Y18",1,0.511668240603899,0
"Y07","Y19",1,0.724108420698531,0
"Y07","Y21",1,0.659508089938841,0
"Y07","Y22",1,0.637249018564626,0
"Y07","Y23",1,0.425519598506544,0
"Y07","Y26",1,0.284989039938615,0
"Y07","Y27",1,0.207651459061399,0
"Y07","Y28",1,0.180741780096602,0
"Y07","Y29",1,0.1491590480722,0
"Y07","Y30",1,0.15632832204527,0
"Y07","Y31",1,0.0608269526112668,0
"Y07","Y33",1,0.13346619494576,0
"Y07","Y35",1,0.337501086557501,0
"Y08","Y01",1,0.771469808981751,0
"Y08","Y02",1,0.814334921122435,0
"Y08","Y03",1,0.879046073477993,0
"Y08","Y04",1,0.903201319083612,0
"Y08","Y05",1,0.931678321164631,0
"Y08","Y06",1,0.948246285809061,0
"Y08","Y07",1,0.975476511575266,0
"Y08","Y09",1,0.971900295669861,0
"Y08","Y10",1,0.972907855489156,0
"Y08","Y11",1,0.81636548952204,0
"Y08","Y12",1,0.730677592764453,0
"Y08","Y14",1,0.478358867884464,0
"Y08","Y16",1,0.549680476622714,0
"Y08","Y17",1,0.534602380790087,0
"Y08","Y18",1,0.487199186261089,0
"Y08","Y19",1,0.69227680712052,0
"Y08","Y21",1,0.627102708502212,0
"Y08","Y22",1,0.604493568455315,1
"Y08","Y23",1,0.393093651516857,0
"Y08","Y26",1,0.252768807784034,0
"Y08","Y27",1,0.175419368775294,0
"Y08","Y28",1,0.148520721195079,0
"Y08","Y29",1,0.116979679667263,0
"Y08","Y30",1,0.12459383737753,0
"Y08","Y31",1,0.0285682419985035,0
"Y08","Y33",1,0.100317989521188,0
"Y08","Y35",1,0.304666180972092,0
"Y09","Y01",1,0.735390633503133,0
"Y09","Y02",1,0.777636385704684,0
"Y09","Y03",1,0.843432162508955,0
"Y09","Y04",1,0.867842324146887,0
"Y09","Y05",1,0.897002792358612,0
"Y09","Y06",1,0.913323904396769,0
"Y09","Y07",1,0.940560642929272,0
"Y09","Y08",1,0.971900295669861,0
"Y09","Y10",1,1,1
"Y09","Y11",1,0.782522683907227,0
"Y09","Y12",1,0.711073755057496,0
"Y09","Y14",1,0.472110742286523,0
"Y09","Y16",1,0.535334487415234,0
"Y09","Y17",1,0.519858454905854,0
"Y09","Y18",1,0.472117790828847,0
"Y09","Y19",1,0.664036099322917,0
"Y09","Y21",1,0.597594499200389,0
"Y09","Y22",1,0.573923112190592,0
"Y09","Y23",1,0.363832070704192,0
"Y09","Y26",1,0.224204340980346,0
"Y09","Y27",1,0.146864412117593,0
"Y09","Y28",1,0.120010198372806,0
"Y09","Y29",1,0.0886010055684926,0
"Y09","Y30",1,0.0973751913419584,0
"Y09","Y31",1,0,0
"Y09","Y33",1,0.0679295835722364,0
"Y09","Y35",1,0.274053121648608,0
"Y10","Y01",1,0.735738499645472,0
"Y10","Y02",1,0.779063865165345,0
"Y10","Y03",1,0.847050795684335,0
"Y10","Y04",1,0.871567786956578,0
"Y10","Y05",1,0.900985799581839,0
"Y10","Y06",1,0.917036451736358,0
"Y10","Y07",1,0.943877989148541,0
"Y10","Y08",1,0.972907855489156,0
"Y10","Y09",1,1,0
"Y10","Y11",1,0.787311815157997,0
"Y10","Y12",1,0.719089737976948,0
"Y10","Y14",1,0.480761338020212,0
"Y10","Y16",1,0.543809299432601,0
"Y10","Y17",1,0.528314371647075,0
"Y10","Y18",1,0.480561198632401,0
"Y10","Y19",1,0.670741536956834,0
"Y10","Y21",1,0.60403460067809,0
"Y10","Y22",1,0.580085116144653,0
"Y10","Y23",1,0.370406602624609,0
"Y10","Y26",1,0.230967591357913,0
"Y10","Y27",1,0.153638822286402,0
"Y10","Y28",1,0.126797534385352,0
"Y10","Y29",1,0.0954212678205545,0
"Y10","Y30",1,0.104441041507297,0
"Y10","Y31",1,0.00678453782186794,0
"Y10","Y33",1,0.0735989707600949,0
"Y10","Y35",1,0.280279969790919,0
"Y11","Y01",1,0.866474956618597,0
"Y11","Y02",1,0.913634145416917,0
"Y11","Y03",1,0.941444137760249,1
"Y11","Y04",1,0.920265502004438,0
"Y11","Y05",1,0.893296042821822,0
"Y11","Y06",1,0.87671898913496,0
"Y11","Y07",1,0.849532247148185,0
"Y11","Y08",1,0.81636548952204,0
"Y11","Y09",1,0.782522683907227,0
"Y11","Y10",1,0.787311815157997,1
"Y11","Y12",1,0.842344280001195,0
"Y11","Y14",1,0.553047130714142,0
"Y11","Y16",1,0.660943195983738,0
"Y11","Y17",1,0.649275876532105,0
"Y11","Y18",1,0.607082188370319,0
"Y11","Y19",1,0.865011018537738,0
"Y11","Y21",1,0.809408308530435,1
"Y11","Y22",1,0.791137235750935,0
"Y11","Y23",1,0.578001241418709,0
"Y11","Y26",1,0.436500729031099,0
"Y11","Y27",1,0.359466545870304,0
"Y11","Y28",1,0.33254652712355,0
"Y11","Y29",1,0.300753794446841,0
"Y11","Y30",1,0.304949500348288,0
"Y11","Y31",1,0.213117283684594,0
"Y11","Y33",1,0.29208628443555,0
"Y11","Y35",1,0.49340669415107,0
"Y12","Y01",1,0.701430679756547,0
"Y12","Y02",1,0.7473487099644,0
"Y12","Y03",1,0.801602868743221,0
"Y12","Y04",1,0.796047292659614,0
"Y12","Y05",1,0.786806935576702,0
"Y12","Y06",1,0.775351680177846,0
"Y12","Y07",1,0.757299245261638,0
"Y12","Y08",1,0.730677592764453,0
"Y12","Y09",1,0.711073755057496,0
"Y12","Y10",1,0.719089737976948,0
"Y12","Y11",1,0.842344280001195,0
"Y12","Y14",1,0.71933887118305,0
"Y12","Y16",1,0.820580949517889,0
"Y12","Y17",1,0.806982517121205,0
"Y12","Y18",1,0.761160672191462,0
"Y12","Y19",1,0.903312069357488,0
"Y12","Y21",1,0.843829048527009,0
"Y12","Y22",1,0.813002141210841,0
"Y12","Y23",1,0.633989675143387,0
"Y12","Y26",1,0.502251818963097,0
"Y12","Y27",1,0.426081397137378,0
"Y12","Y28",1,0.399780121882274,0
"Y12","Y29",1,0.369373605047723,0
"Y12","Y30",1,0.383247919200152,0
"Y12","Y31",1,0.280620932055767,0
"Y12","Y33",1,0.319559314626582,0
"Y12","Y35",1,0.536851065291903,0
"Y14","Y01",1,0.412897759915611,0
"Y14","Y02",1,0.458037767963032,0
"Y14","Y03",1,0.516689537296593,0
"Y14","Y04",1,0.515756154592788,0
"Y14","Y05",1,0.513977330582644,0
"Y14","Y06",1,0.506624836999017,0
"Y14","Y07",1,0.496274700439744,0
"Y14","Y08",1,0.478358867884464,0
"Y14","Y09",1,0.472110742286523,0
