"nest1","nest2","weight","site_comb","site_same_other","site_same_semi_other","dyad_ID","year","nest1_anthro","nest2_anthro","anthro","anthro_binary"
"X20","X18",0.428571428571428,"XX","same","same","X18_X20",2024,0,0,0,1
"X21","X18",0.714285714285714,"XX","same","same","X18_X21",2024,0,0,0,1
"X22","X18",0.714285714285714,"XX","same","same","X18_X22",2024,0,0,0,1
"X23","X18",0.285714285714286,"XX","same","same","X18_X23",2024,1,0,1,0
"X25","X18",0.714285714285714,"XX","same","same","X18_X25",2024,1,0,1,0
"X27","X18",0.625,"XX","same","same","X18_X27",2024,1,0,1,0
"X31","X18",0.777777777777778,"XX","same","same","X18_X31",2024,1,0,1,0
"X32","X18",0.714285714285714,"XX","same","same","X18_X32",2024,0,0,0,1
"X33","X18",0.571428571428571,"XX","same","same","X18_X33",2024,0,0,0,1
"X35","X18",0.5,"XX","same","same","X18_X35",2024,0,0,0,1
"X36","X18",0.571428571428571,"XX","same","same","X18_X36",2024,0,0,0,1
"X38","X18",0.5,"XX","same","same","X18_X38",2024,0,0,0,1
"X39","X18",0.857142857142857,"XX","same","same","X18_X39",2024,1,0,1,0
"Y01","X18",0.714285714285714,"YX","other","other","X18_Y01",2024,1,0,1,0
"Y02","X18",0.666666666666667,"YX","other","other","X18_Y02",2024,1,0,1,0
"Y03","X18",0.714285714285714,"YX","other","other","X18_Y03",2024,0,0,0,1
"Y04","X18",0.625,"YX","other","other","X18_Y04",2024,1,0,1,0
"Y05","X18",0.375,"YX","other","other","X18_Y05",2024,1,0,1,0
"Y06","X18",0.666666666666667,"YX","other","other","X18_Y06",2024,1,0,1,0
"Y07","X18",0.75,"YX","other","other","X18_Y07",2024,1,0,1,0
"Y08","X18",0.777777777777778,"YX","other","other","X18_Y08",2024,1,0,1,0
"Y09","X18",0.666666666666667,"YX","other","other","X18_Y09",2024,1,0,1,0
"Y10","X18",0.666666666666667,"YX","other","other","X18_Y10",2024,1,0,1,0
"Y11","X18",0.75,"YX","other","other","X18_Y11",2024,1,0,1,0
"Y12","X18",0.857142857142857,"YX","other","other","X18_Y12",2024,1,0,1,0
"Y14","X18",0.875,"YX","other","other","X18_Y14",2024,1,0,1,0
"Y16","X18",0.428571428571428,"YX","other","other","X18_Y16",2024,0,0,0,1
"Y17","X18",0.625,"YX","other","other","X18_Y17",2024,1,0,1,0
"Y18","X18",0.75,"YX","other","other","X18_Y18",2024,1,0,1,0
"Y19","X18",0.714285714285714,"YX","other","other","X18_Y19",2024,1,0,1,0
"Y20","X18",0.625,"YX","other","other","X18_Y20",2024,1,0,1,0
"Y21","X18",0.875,"YX","other","other","X18_Y21",2024,1,0,1,0
"Y22","X18",0.428571428571428,"YX","other","other","X18_Y22",2024,0,0,0,1
"Y23","X18",1,"YX","other","other","X18_Y23",2024,0,0,0,1
"Y24","X18",0.428571428571428,"YX","other","other","X18_Y24",2024,0,0,0,1
"Y25","X18",0.714285714285714,"YX","other","other","X18_Y25",2024,0,0,0,1
"Y26","X18",0.625,"YX","other","other","X18_Y26",2024,1,0,1,0
"Y27","X18",0.714285714285714,"YX","other","other","X18_Y27",2024,0,0,0,1
"Y28","X18",0.857142857142857,"YX","other","other","X18_Y28",2024,0,0,0,1
"Y29","X18",0.857142857142857,"YX","other","other","X18_Y29",2024,1,0,1,0
"Y30","X18",0.571428571428571,"YX","other","other","X18_Y30",2024,0,0,0,1
"Y31","X18",0.571428571428571,"YX","other","other","X18_Y31",2024,0,0,0,1
"Y32","X18",0.571428571428571,"YX","other","other","X18_Y32",2024,0,0,0,1
"Y33","X18",0.428571428571428,"YX","other","other","X18_Y33",2024,0,0,0,1
"Y34","X18",0.5,"YX","other","other","X18_Y34",2024,1,0,1,0
"Y35","X18",0.714285714285714,"YX","other","other","X18_Y35",2024,0,0,0,1
"Z02","X18",0.555555555555556,"ZX","other","other","X18_Z02",2024,1,0,1,0
"Z03","X18",0.714285714285714,"ZX","other","other","X18_Z03",2024,1,0,1,0
"Z05","X18",1,"ZX","other","other","X18_Z05",2024,1,0,1,0
"Z06","X18",0.625,"ZX","other","other","X18_Z06",2024,0,0,0,1
"Z07","X18",0.714285714285714,"ZX","other","other","X18_Z07",2024,0,0,0,1
"Z08","X18",0.75,"ZX","other","other","X18_Z08",2024,1,0,1,0
"Z10","X18",0.714285714285714,"ZX","other","other","X18_Z10",2024,1,0,1,0
"Z11","X18",0.625,"ZX","other","other","X18_Z11",2024,1,0,1,0
"Z13","X18",0.5,"ZX","other","other","X18_Z13",2024,1,0,1,0
"Z14","X18",0.625,"ZX","other","other","X18_Z14",2024,1,0,1,0
"Z15","X18",0.625,"ZX","other","other","X18_Z15",2024,1,0,1,0
"Z16","X18",0.5,"ZX","other","other","X18_Z16",2024,1,0,1,0
"Z17","X18",0.444444444444444,"ZX","other","other","X18_Z17",2024,1,0,1,0
"Z18","X18",0.428571428571428,"ZX","other","other","X18_Z18",2024,0,0,0,1
"Z19","X18",0.571428571428571,"ZX","other","other","X18_Z19",2024,0,0,0,1
"Z20","X18",0.714285714285714,"ZX","other","other","X18_Z20",2024,1,0,1,0
"Z21","X18",0.5,"ZX","other","other","X18_Z21",2024,1,0,1,0
"Z22","X18",0.857142857142857,"ZX","other","other","X18_Z22",2024,1,0,1,0
"Z23","X18",0.555555555555556,"ZX","other","other","X18_Z23",2024,1,0,1,0
"Z24","X18",0.571428571428571,"ZX","other","other","X18_Z24",2024,0,0,0,1
"Z26","X18",0.625,"ZX","other","other","X18_Z26",2024,1,0,1,0
"Z27","X18",0.714285714285714,"ZX","other","other","X18_Z27",2024,0,0,0,1
"Z28","X18",0.714285714285714,"ZX","other","other","X18_Z28",2024,1,0,1,0
"Z29","X18",1,"ZX","other","other","X18_Z29",2024,1,0,1,0
"Z30","X18",0.714285714285714,"ZX","other","other","X18_Z30",2024,1,0,1,0
"Z31","X18",0.714285714285714,"ZX","other","other","X18_Z31",2024,1,0,1,0
"Z32","X18",0.571428571428571,"ZX","other","other","X18_Z32",2024,1,0,1,0
"Z33","X18",0.857142857142857,"ZX","other","other","X18_Z33",2024,1,0,1,0
"Z35","X18",0.444444444444444,"ZX","other","other","X18_Z35",2024,1,0,1,0
"Z38","X18",0.714285714285714,"ZX","other","other","X18_Z38",2024,0,0,0,1
"Z39","X18",1,"ZX","other","other","X18_Z39",2024,1,0,1,0
"Z40","X18",0.428571428571428,"ZX","other","other","X18_Z40",2024,0,0,0,1
"Z41","X18",0.714285714285714,"ZX","other","other","X18_Z41",2024,1,0,1,0
"Z42","X18",0.625,"ZX","other","other","X18_Z42",2024,1,0,1,0
"Z43","X18",0.5,"ZX","other","other","X18_Z43",2024,1,0,1,0
"Z44","X18",0.571428571428571,"ZX","other","other","X18_Z44",2024,0,0,0,1
"Z45","X18",0.428571428571428,"ZX","other","other","X18_Z45",2024,1,0,1,0
"X21","X20",0.6,"XX","same","same","X20_X21",2024,0,0,0,1
"X22","X20",0.6,"XX","same","same","X20_X22",2024,0,0,0,1
"X23","X20",0.666666666666667,"XX","same","same","X20_X23",2024,1,0,1,0
"X25","X20",0.6,"XX","same","same","X20_X25",2024,1,0,1,0
"X27","X20",0.5,"XX","same","same","X20_X27",2024,1,0,1,0
"X31","X20",0.333333333333333,"XX","same","same","X20_X31",2024,1,0,1,0
"X32","X20",0.6,"XX","same","same","X20_X32",2024,0,0,0,1
"X33","X20",0.75,"XX","same","same","X20_X33",2024,0,0,0,1
"X35","X20",0.333333333333333,"XX","same","same","X20_X35",2024,0,0,0,1
"X36","X20",0.75,"XX","same","same","X20_X36",2024,0,0,0,1
"X38","X20",0.6,"XX","same","same","X20_X38",2024,0,0,0,1
"X39","X20",0.5,"XX","same","same","X20_X39",2024,1,0,1,0
"Y01","X20",0.6,"YX","other","other","X20_Y01",2024,1,0,1,0
"Y02","X20",0.222222222222222,"YX","other","other","X20_Y02",2024,1,0,1,0
"Y03","X20",0.6,"YX","other","other","X20_Y03",2024,0,0,0,1
"Y04","X20",0.285714285714286,"YX","other","other","X20_Y04",2024,1,0,1,0
"Y05","X20",0.4,"YX","other","other","X20_Y05",2024,1,0,1,0
"Y06","X20",0.375,"YX","other","other","X20_Y06",2024,1,0,1,0
"Y07","X20",0.25,"YX","other","other","X20_Y07",2024,1,0,1,0
"Y08","X20",0.333333333333333,"YX","other","other","X20_Y08",2024,1,0,1,0
"Y09","X20",0.375,"YX","other","other","X20_Y09",2024,1,0,1,0
"Y10","X20",0.222222222222222,"YX","other","other","X20_Y10",2024,1,0,1,0
"Y11","X20",0.428571428571428,"YX","other","other","X20_Y11",2024,1,0,1,0
"Y12","X20",0.285714285714286,"YX","other","other","X20_Y12",2024,1,0,1,0
"Y14","X20",0.375,"YX","other","other","X20_Y14",2024,1,0,1,0
"Y16","X20",0.5,"YX","other","other","X20_Y16",2024,0,0,0,1
"Y17","X20",0.285714285714286,"YX","other","other","X20_Y17",2024,1,0,1,0
"Y18","X20",0.428571428571428,"YX","other","other","X20_Y18",2024,1,0,1,0
"Y19","X20",0.6,"YX","other","other","X20_Y19",2024,1,0,1,0
"Y20","X20",0.5,"YX","other","other","X20_Y20",2024,1,0,1,0
"Y21","X20",0.375,"YX","other","other","X20_Y21",2024,1,0,1,0
"Y22","X20",0.5,"YX","other","other","X20_Y22",2024,0,0,0,1
"Y23","X20",0.428571428571428,"YX","other","other","X20_Y23",2024,0,0,0,1
"Y24","X20",0.5,"YX","other","other","X20_Y24",2024,0,0,0,1
"Y25","X20",0.6,"YX","other","other","X20_Y25",2024,0,0,0,1
"Y26","X20",0.285714285714286,"YX","other","other","X20_Y26",2024,1,0,1,0
"Y27","X20",0.6,"YX","other","other","X20_Y27",2024,0,0,0,1
"Y28","X20",0.5,"YX","other","other","X20_Y28",2024,0,0,0,1
"Y29","X20",0.285714285714286,"YX","other","other","X20_Y29",2024,1,0,1,0
"Y30","X20",0.75,"YX","other","other","X20_Y30",2024,0,0,0,1
"Y31","X20",0.4,"YX","other","other","X20_Y31",2024,0,0,0,1
"Y32","X20",0.4,"YX","other","other","X20_Y32",2024,0,0,0,1
"Y33","X20",0.5,"YX","other","other","X20_Y33",2024,0,0,0,1
"Y34","X20",0.333333333333333,"YX","other","other","X20_Y34",2024,1,0,1,0
"Y35","X20",0.6,"YX","other","other","X20_Y35",2024,0,0,0,1
"Z02","X20",0.428571428571428,"ZX","other","other","X20_Z02",2024,1,0,1,0
"Z03","X20",0.333333333333333,"ZX","other","other","X20_Z03",2024,1,0,1,0
"Z05","X20",0.428571428571428,"ZX","other","other","X20_Z05",2024,1,0,1,0
"Z06","X20",0.5,"ZX","other","other","X20_Z06",2024,0,0,0,1
"Z07","X20",0.6,"ZX","other","other","X20_Z07",2024,0,0,0,1
"Z08","X20",0.428571428571428,"ZX","other","other","X20_Z08",2024,1,0,1,0
"Z10","X20",0.333333333333333,"ZX","other","other","X20_Z10",2024,1,0,1,0
"Z11","X20",0.5,"ZX","other","other","X20_Z11",2024,1,0,1,0
"Z13","X20",0.333333333333333,"ZX","other","other","X20_Z13",2024,1,0,1,0
"Z14","X20",0.285714285714286,"ZX","other","other","X20_Z14",2024,1,0,1,0
"Z15","X20",0.5,"ZX","other","other","X20_Z15",2024,1,0,1,0
"Z16","X20",0.333333333333333,"ZX","other","other","X20_Z16",2024,1,0,1,0
"Z17","X20",0.285714285714286,"ZX","other","other","X20_Z17",2024,1,0,1,0
"Z18","X20",0.5,"ZX","other","other","X20_Z18",2024,0,0,0,1
"Z19","X20",0.4,"ZX","other","other","X20_Z19",2024,0,0,0,1
"Z20","X20",0.333333333333333,"ZX","other","other","X20_Z20",2024,1,0,1,0
"Z21","X20",0.333333333333333,"ZX","other","other","X20_Z21",2024,1,0,1,0
"Z22","X20",0.285714285714286,"ZX","other","other","X20_Z22",2024,1,0,1,0
"Z23","X20",0.25,"ZX","other","other","X20_Z23",2024,1,0,1,0
"Z24","X20",0.4,"ZX","other","other","X20_Z24",2024,0,0,0,1
"Z26","X20",0.285714285714286,"ZX","other","other","X20_Z26",2024,1,0,1,0
"Z27","X20",0.333333333333333,"ZX","other","other","X20_Z27",2024,0,0,0,1
"Z28","X20",0.333333333333333,"ZX","other","other","X20_Z28",2024,1,0,1,0
"Z29","X20",0.428571428571428,"ZX","other","other","X20_Z29",2024,1,0,1,0
"Z30","X20",0.333333333333333,"ZX","other","other","X20_Z30",2024,1,0,1,0
"Z31","X20",0.333333333333333,"ZX","other","other","X20_Z31",2024,1,0,1,0
"Z32","X20",0.4,"ZX","other","other","X20_Z32",2024,1,0,1,0
"Z33","X20",0.285714285714286,"ZX","other","other","X20_Z33",2024,1,0,1,0
"Z35","X20",0.285714285714286,"ZX","other","other","X20_Z35",2024,1,0,1,0
"Z38","X20",0.333333333333333,"ZX","other","other","X20_Z38",2024,0,0,0,1
"Z39","X20",0.428571428571428,"ZX","other","other","X20_Z39",2024,1,0,1,0
"Z40","X20",0.5,"ZX","other","other","X20_Z40",2024,0,0,0,1
"Z41","X20",0.6,"ZX","other","other","X20_Z41",2024,1,0,1,0
"Z42","X20",0.5,"ZX","other","other","X20_Z42",2024,1,0,1,0
"Z43","X20",0.333333333333333,"ZX","other","other","X20_Z43",2024,1,0,1,0
"Z44","X20",0.4,"ZX","other","other","X20_Z44",2024,0,0,0,1
"Z45","X20",0.2,"ZX","other","other","X20_Z45",2024,1,0,1,0
"X22","X21",0.666666666666667,"XX","same","same","X21_X22",2024,0,0,0,1
"X23","X21",0.4,"XX","same","same","X21_X23",2024,1,0,1,0
"X25","X21",0.666666666666667,"XX","same","same","X21_X25",2024,1,0,1,0
"X27","X21",0.571428571428571,"XX","same","same","X21_X27",2024,1,0,1,0
"X31","X21",0.555555555555556,"XX","same","same","X21_X31",2024,1,0,1,0
"X32","X21",1,"XX","same","same","X21_X32",2024,0,0,0,1
"X33","X21",0.8,"XX","same","same","X21_X33",2024,0,0,0,1
"X35","X21",0.428571428571428,"XX","same","same","X21_X35",2024,0,0,0,1
"X36","X21",0.8,"XX","same","same","X21_X36",2024,0,0,0,1
"X38","X21",0.666666666666667,"XX","same","same","X21_X38",2024,0,0,0,1
"X39","X21",0.571428571428571,"XX","same","same","X21_X39",2024,1,0,1,0
"Y01","X21",0.666666666666667,"YX","other","other","X21_Y01",2024,1,0,1,0
"Y02","X21",0.444444444444444,"YX","other","other","X21_Y02",2024,1,0,1,0
"Y03","X21",0.666666666666667,"YX","other","other","X21_Y03",2024,0,0,0,1
"Y04","X21",0.375,"YX","other","other","X21_Y04",2024,1,0,1,0
"Y05","X21",0.285714285714286,"YX","other","other","X21_Y05",2024,1,0,1,0
"Y06","X21",0.444444444444444,"YX","other","other","X21_Y06",2024,1,0,1,0
"Y07","X21",0.5,"YX","other","other","X21_Y07",2024,1,0,1,0
"Y08","X21",0.555555555555556,"YX","other","other","X21_Y08",2024,1,0,1,0
"Y09","X21",0.444444444444444,"YX","other","other","X21_Y09",2024,1,0,1,0
"Y10","X21",0.444444444444444,"YX","other","other","X21_Y10",2024,1,0,1,0
"Y11","X21",0.5,"YX","other","other","X21_Y11",2024,1,0,1,0
"Y12","X21",0.571428571428571,"YX","other","other","X21_Y12",2024,1,0,1,0
"Y14","X21",0.625,"YX","other","other","X21_Y14",2024,1,0,1,0
"Y16","X21",0.6,"YX","other","other","X21_Y16",2024,0,0,0,1
"Y17","X21",0.375,"YX","other","other","X21_Y17",2024,1,0,1,0
"Y18","X21",0.5,"YX","other","other","X21_Y18",2024,1,0,1,0
"Y19","X21",0.666666666666667,"YX","other","other","X21_Y19",2024,1,0,1,0
"Y20","X21",0.571428571428571,"YX","other","other","X21_Y20",2024,1,0,1,0
"Y21","X21",0.625,"YX","other","other","X21_Y21",2024,1,0,1,0
"Y22","X21",0.6,"YX","other","other","X21_Y22",2024,0,0,0,1
"Y23","X21",0.714285714285714,"YX","other","other","X21_Y23",2024,0,0,0,1
"Y24","X21",0.6,"YX","other","other","X21_Y24",2024,0,0,0,1
"Y25","X21",1,"YX","other","other","X21_Y25",2024,0,0,0,1
"Y26","X21",0.571428571428571,"YX","other","other","X21_Y26",2024,1,0,1,0
"Y27","X21",1,"YX","other","other","X21_Y27",2024,0,0,0,1
"Y28","X21",0.833333333333333,"YX","other","other","X21_Y28",2024,0,0,0,1
"Y29","X21",0.571428571428571,"YX","other","other","X21_Y29",2024,1,0,1,0
"Y30","X21",0.8,"YX","other","other","X21_Y30",2024,0,0,0,1
"Y31","X21",0.5,"YX","other","other","X21_Y31",2024,0,0,0,1
"Y32","X21",0.8,"YX","other","other","X21_Y32",2024,0,0,0,1
"Y33","X21",0.6,"YX","other","other","X21_Y33",2024,0,0,0,1
"Y34","X21",0.428571428571428,"YX","other","other","X21_Y34",2024,1,0,1,0
"Y35","X21",1,"YX","other","other","X21_Y35",2024,0,0,0,1
"Z02","X21",0.5,"ZX","other","other","X21_Z02",2024,1,0,1,0
"Z03","X21",0.428571428571428,"ZX","other","other","X21_Z03",2024,1,0,1,0
"Z05","X21",0.714285714285714,"ZX","other","other","X21_Z05",2024,1,0,1,0
"Z06","X21",0.571428571428571,"ZX","other","other","X21_Z06",2024,0,0,0,1
"Z07","X21",0.666666666666667,"ZX","other","other","X21_Z07",2024,0,0,0,1
"Z08","X21",0.5,"ZX","other","other","X21_Z08",2024,1,0,1,0
"Z10","X21",0.428571428571428,"ZX","other","other","X21_Z10",2024,1,0,1,0
"Z11","X21",0.571428571428571,"ZX","other","other","X21_Z11",2024,1,0,1,0
"Z13","X21",0.428571428571428,"ZX","other","other","X21_Z13",2024,1,0,1,0
"Z14","X21",0.375,"ZX","other","other","X21_Z14",2024,1,0,1,0
"Z15","X21",0.571428571428571,"ZX","other","other","X21_Z15",2024,1,0,1,0
"Z16","X21",0.428571428571428,"ZX","other","other","X21_Z16",2024,1,0,1,0
"Z17","X21",0.375,"ZX","other","other","X21_Z17",2024,1,0,1,0
"Z18","X21",0.333333333333333,"ZX","other","other","X21_Z18",2024,0,0,0,1
"Z19","X21",0.5,"ZX","other","other","X21_Z19",2024,0,0,0,1
"Z20","X21",0.428571428571428,"ZX","other","other","X21_Z20",2024,1,0,1,0
"Z21","X21",0.428571428571428,"ZX","other","other","X21_Z21",2024,1,0,1,0
"Z22","X21",0.571428571428571,"ZX","other","other","X21_Z22",2024,1,0,1,0
"Z23","X21",0.5,"ZX","other","other","X21_Z23",2024,1,0,1,0
"Z24","X21",0.5,"ZX","other","other","X21_Z24",2024,0,0,0,1
"Z26","X21",0.571428571428571,"ZX","other","other","X21_Z26",2024,1,0,1,0
"Z27","X21",0.666666666666667,"ZX","other","other","X21_Z27",2024,0,0,0,1
"Z28","X21",0.666666666666667,"ZX","other","other","X21_Z28",2024,1,0,1,0
"Z29","X21",0.714285714285714,"ZX","other","other","X21_Z29",2024,1,0,1,0
"Z30","X21",0.666666666666667,"ZX","other","other","X21_Z30",2024,1,0,1,0
"Z31","X21",0.428571428571428,"ZX","other","other","X21_Z31",2024,1,0,1,0
"Z32","X21",0.5,"ZX","other","other","X21_Z32",2024,1,0,1,0
"Z33","X21",0.571428571428571,"ZX","other","other","X21_Z33",2024,1,0,1,0
"Z35","X21",0.375,"ZX","other","other","X21_Z35",2024,1,0,1,0
"Z38","X21",0.666666666666667,"ZX","other","other","X21_Z38",2024,0,0,0,1
"Z39","X21",0.714285714285714,"ZX","other","other","X21_Z39",2024,1,0,1,0
"Z40","X21",0.6,"ZX","other","other","X21_Z40",2024,0,0,0,1
"Z41","X21",0.666666666666667,"ZX","other","other","X21_Z41",2024,1,0,1,0
"Z42","X21",0.571428571428571,"ZX","other","other","X21_Z42",2024,1,0,1,0
"Z43","X21",0.428571428571428,"ZX","other","other","X21_Z43",2024,1,0,1,0
"Z44","X21",0.5,"ZX","other","other","X21_Z44",2024,0,0,0,1
"Z45","X21",0.333333333333333,"ZX","other","other","X21_Z45",2024,1,0,1,0
"X23","X22",0.4,"XX","same","same","X22_X23",2024,1,0,1,0
"X25","X22",0.666666666666667,"XX","same","same","X22_X25",2024,1,0,1,0
"X27","X22",0.833333333333333,"XX","same","same","X22_X27",2024,1,0,1,0
"X31","X22",0.555555555555556,"XX","same","same","X22_X31",2024,1,0,1,0
"X32","X22",0.666666666666667,"XX","same","same","X22_X32",2024,0,0,0,1
"X33","X22",0.8,"XX","same","same","X22_X33",2024,0,0,0,1
"X35","X22",0.428571428571428,"XX","same","same","X22_X35",2024,0,0,0,1
"X36","X22",0.8,"XX","same","same","X22_X36",2024,0,0,0,1
"X38","X22",0.666666666666667,"XX","same","same","X22_X38",2024,0,0,0,1
"X39","X22",0.833333333333333,"XX","same","same","X22_X39",2024,1,0,1,0
"Y01","X22",1,"YX","other","other","X22_Y01",2024,1,0,1,0
"Y02","X22",0.444444444444444,"YX","other","other","X22_Y02",2024,1,0,1,0
"Y03","X22",1,"YX","other","other","X22_Y03",2024,0,0,0,1
"Y04","X22",0.571428571428571,"YX","other","other","X22_Y04",2024,1,0,1,0
"Y05","X22",0.285714285714286,"YX","other","other","X22_Y05",2024,1,0,1,0
"Y06","X22",0.625,"YX","other","other","X22_Y06",2024,1,0,1,0
"Y07","X22",0.5,"YX","other","other","X22_Y07",2024,1,0,1,0
"Y08","X22",0.555555555555556,"YX","other","other","X22_Y08",2024,1,0,1,0
"Y09","X22",0.625,"YX","other","other","X22_Y09",2024,1,0,1,0
"Y10","X22",0.444444444444444,"YX","other","other","X22_Y10",2024,1,0,1,0
"Y11","X22",0.714285714285714,"YX","other","other","X22_Y11",2024,1,0,1,0
"Y12","X22",0.571428571428571,"YX","other","other","X22_Y12",2024,1,0,1,0
"Y14","X22",0.625,"YX","other","other","X22_Y14",2024,1,0,1,0
"Y16","X22",0.6,"YX","other","other","X22_Y16",2024,0,0,0,1
"Y17","X22",0.571428571428571,"YX","other","other","X22_Y17",2024,1,0,1,0
"Y18","X22",0.714285714285714,"YX","other","other","X22_Y18",2024,1,0,1,0
"Y19","X22",1,"YX","other","other","X22_Y19",2024,1,0,1,0
"Y20","X22",0.833333333333333,"YX","other","other","X22_Y20",2024,1,0,1,0
"Y21","X22",0.625,"YX","other","other","X22_Y21",2024,1,0,1,0
"Y22","X22",0.6,"YX","other","other","X22_Y22",2024,0,0,0,1
"Y23","X22",0.714285714285714,"YX","other","other","X22_Y23",2024,0,0,0,1
"Y24","X22",0.6,"YX","other","other","X22_Y24",2024,0,0,0,1
"Y25","X22",0.666666666666667,"YX","other","other","X22_Y25",2024,0,0,0,1
"Y26","X22",0.571428571428571,"YX","other","other","X22_Y26",2024,1,0,1,0
"Y27","X22",0.666666666666667,"YX","other","other","X22_Y27",2024,0,0,0,1
"Y28","X22",0.833333333333333,"YX","other","other","X22_Y28",2024,0,0,0,1
"Y29","X22",0.571428571428571,"YX","other","other","X22_Y29",2024,1,0,1,0
"Y30","X22",0.8,"YX","other","other","X22_Y30",2024,0,0,0,1
"Y31","X22",0.8,"YX","other","other","X22_Y31",2024,0,0,0,1
"Y32","X22",0.5,"YX","other","other","X22_Y32",2024,0,0,0,1
"Y33","X22",0.6,"YX","other","other","X22_Y33",2024,0,0,0,1
"Y34","X22",0.428571428571428,"YX","other","other","X22_Y34",2024,1,0,1,0
"Y35","X22",0.666666666666667,"YX","other","other","X22_Y35",2024,0,0,0,1
"Z02","X22",0.714285714285714,"ZX","other","other","X22_Z02",2024,1,0,1,0
"Z03","X22",0.666666666666667,"ZX","other","other","X22_Z03",2024,1,0,1,0
"Z05","X22",0.714285714285714,"ZX","other","other","X22_Z05",2024,1,0,1,0
"Z06","X22",0.833333333333333,"ZX","other","other","X22_Z06",2024,0,0,0,1
"Z07","X22",1,"ZX","other","other","X22_Z07",2024,0,0,0,1
"Z08","X22",0.714285714285714,"ZX","other","other","X22_Z08",2024,1,0,1,0
"Z10","X22",0.666666666666667,"ZX","other","other","X22_Z10",2024,1,0,1,0
"Z11","X22",0.833333333333333,"ZX","other","other","X22_Z11",2024,1,0,1,0
"Z13","X22",0.666666666666667,"ZX","other","other","X22_Z13",2024,1,0,1,0
"Z14","X22",0.571428571428571,"ZX","other","other","X22_Z14",2024,1,0,1,0
"Z15","X22",0.833333333333333,"ZX","other","other","X22_Z15",2024,1,0,1,0
"Z16","X22",0.666666666666667,"ZX","other","other","X22_Z16",2024,1,0,1,0
"Z17","X22",0.571428571428571,"ZX","other","other","X22_Z17",2024,1,0,1,0
"Z18","X22",0.6,"ZX","other","other","X22_Z18",2024,0,0,0,1
"Z19","X22",0.8,"ZX","other","other","X22_Z19",2024,0,0,0,1
"Z20","X22",0.666666666666667,"ZX","other","other","X22_Z20",2024,1,0,1,0
"Z21","X22",0.666666666666667,"ZX","other","other","X22_Z21",2024,1,0,1,0
"Z22","X22",0.571428571428571,"ZX","other","other","X22_Z22",2024,1,0,1,0
"Z23","X22",0.5,"ZX","other","other","X22_Z23",2024,1,0,1,0
"Z24","X22",0.8,"ZX","other","other","X22_Z24",2024,0,0,0,1
"Z26","X22",0.571428571428571,"ZX","other","other","X22_Z26",2024,1,0,1,0
"Z27","X22",0.666666666666667,"ZX","other","other","X22_Z27",2024,0,0,0,1
"Z28","X22",0.666666666666667,"ZX","other","other","X22_Z28",2024,1,0,1,0
"Z29","X22",0.714285714285714,"ZX","other","other","X22_Z29",2024,1,0,1,0
"Z30","X22",0.666666666666667,"ZX","other","other","X22_Z30",2024,1,0,1,0
"Z31","X22",0.666666666666667,"ZX","other","other","X22_Z31",2024,1,0,1,0
"Z32","X22",0.8,"ZX","other","other","X22_Z32",2024,1,0,1,0
"Z33","X22",0.571428571428571,"ZX","other","other","X22_Z33",2024,1,0,1,0
"Z35","X22",0.571428571428571,"ZX","other","other","X22_Z35",2024,1,0,1,0
"Z38","X22",0.666666666666667,"ZX","other","other","X22_Z38",2024,0,0,0,1
"Z39","X22",0.714285714285714,"ZX","other","other","X22_Z39",2024,1,0,1,0
"Z40","X22",0.6,"ZX","other","other","X22_Z40",2024,0,0,0,1
"Z41","X22",0.666666666666667,"ZX","other","other","X22_Z41",2024,1,0,1,0
"Z42","X22",0.833333333333333,"ZX","other","other","X22_Z42",2024,1,0,1,0
"Z43","X22",0.666666666666667,"ZX","other","other","X22_Z43",2024,1,0,1,0
"Z44","X22",0.8,"ZX","other","other","X22_Z44",2024,0,0,0,1
"Z45","X22",0.6,"ZX","other","other","X22_Z45",2024,1,0,1,0
"X25","X23",0.4,"XX","same","same","X23_X25",2024,1,1,2,1
"X27","X23",0.333333333333333,"XX","same","same","X23_X27",2024,1,1,2,1
"X31","X23",0.222222222222222,"XX","same","same","X23_X31",2024,1,1,2,1
"X32","X23",0.4,"XX","same","same","X23_X32",2024,0,1,1,0
"X33","X23",0.5,"XX","same","same","X23_X33",2024,0,1,1,0
"X35","X23",0.166666666666667,"XX","same","same","X23_X35",2024,0,1,1,0
"X36","X23",0.5,"XX","same","same","X23_X36",2024,0,1,1,0
"X38","X23",0.4,"XX","same","same","X23_X38",2024,0,1,1,0
"X39","X23",0.333333333333333,"XX","same","same","X23_X39",2024,1,1,2,1
"Y01","X23",0.4,"YX","other","other","X23_Y01",2024,1,1,2,1
"Y02","X23",0.111111111111111,"YX","other","other","X23_Y02",2024,1,1,2,1
"Y03","X23",0.4,"YX","other","other","X23_Y03",2024,0,1,1,0
"Y04","X23",0.142857142857143,"YX","other","other","X23_Y04",2024,1,1,2,1
"Y05","X23",0.2,"YX","other","other","X23_Y05",2024,1,1,2,1
"Y06","X23",0.25,"YX","other","other","X23_Y06",2024,1,1,2,1
"Y07","X23",0.125,"YX","other","other","X23_Y07",2024,1,1,2,1
"Y08","X23",0.222222222222222,"YX","other","other","X23_Y08",2024,1,1,2,1
"Y09","X23",0.25,"YX","other","other","X23_Y09",2024,1,1,2,1
