"id","time","trial","t_end"
"X18",16,1,31
"X20",7,1,31
"X21",7,1,31
"X22",0,1,31
"X23",22,1,31
"X25",0,1,31
"X31",7,1,31
"X32",22,1,31
"X33",8,1,31
"X35",20,1,31
"X39",0,1,31
"Y01",7,1,31
"Y02",0,1,31
"Y03",19,1,31
"Y04",0,1,31
"Y05",0,1,31
"Y06",0,1,31
"Y07",12,1,31
"Y08",7,1,31
"Y09",12,1,31
"Y10",18,1,31
"Y11",19,1,31
"Y12",7,1,31
"Y14",9,1,31
"Y16",18,1,31
"Y17",9,1,31
"Y18",12,1,31
"Y19",6,1,31
"Y21",0,1,31
"Y22",19,1,31
"Y23",12,1,31
"Y26",14,1,31
"Y27",0,1,31
"Y28",19,1,31
"Y29",13,1,31
"Y30",21,1,31
"Y31",6,1,31
"Y33",20,1,31
"Y35",21,1,31
"Z02",0,1,31
"Z03",12,1,31
"Z05",22,1,31
"Z06",0,1,31
"Z07",18,1,31
"Z08",12,1,31
"Z10",12,1,31
"Z11",0,1,31
"Z13",0,1,31
"Z14",7,1,31
"Z15",12,1,31
"Z16",0,1,31
"Z17",0,1,31
"Z18",14,1,31
"Z19",0,1,31
"Z20",13,1,31
"Z21",18,1,31
"Z22",7,1,31
"Z23",0,1,31
"Z24",0,1,31
"Z26",11,1,31
"Z27",19,1,31
"Z28",19,1,31
"Z29",0,1,31
"Z30",19,1,31
"Z31",0,1,31
"Z32",30,1,31
"Z33",18,1,31
"Z35",0,1,31
"Z38",13,1,31
"Z39",0,1,31
"Z40",0,1,31
"Z41",19,1,31
"Z42",7,1,31
"Z43",16,1,31
"Z44",12,1,31
"Z45",0,1,31
