"Nestbox","Diversity","Diversity_max","Site","Anthropogenic_binary","Year"
"Z22",9,11,"Z",1,"2026"
"Z27",7,11,"Z",1,"2026"
"Z28",7,11,"Z",1,"2026"
"Z29",9,11,"Z",1,"2026"
"Z31",8,11,"Z",1,"2026"
"Z32",7,11,"Z",1,"2026"
"Z33",9,11,"Z",1,"2026"
"Z39",10,11,"Z",1,"2026"
"Z42",9,11,"Z",1,"2026"
"Z43",9,11,"Z",1,"2026"
"Z45",9,11,"Z",1,"2026"
